year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,sai_realized_forcing_wm2
2237,296.99004709325243,0.982994944853032,1.0,0.785994012127857,0.17318234842253455,-0.1758133455004972
2238,296.72036380605795,0.9715642949985442,1.0,0.7778359503126608,0.16651742693191438,-0.169656565725223
2239,296.45068051886346,0.9740319072443075,1.0,0.7836461874253663,0.16002681255467535,-0.16325524571790442
2240,296.180997231669,0.9585347964288888,1.0,0.771522175501697,0.15317247781972626,-0.15701168305391972
2241,295.9113139444745,0.9598054824862452,1.0,0.776241645509156,0.14645972718500094,-0.15040787617052917
2242,295.64163065728,0.9521178459703368,1.0,0.7720419523828902,0.13962098575648765,-0.14393013105759334
2243,295.37194737008554,0.9625618709427868,1.0,0.7860233926887841,0.13320168753715117,-0.13732025109777568
2244,295.102264082891,0.9603191365841994,1.0,0.7872996683299158,0.12682067758704865,-0.13110606169741768
2245,294.8325807956965,0.9551032221504928,1.0,0.7855874925915283,0.12038830236479449,-0.12491959112421623
2246,294.56289750850203,0.96038546853153,1.0,0.7943728865123161,0.11421948896016397,-0.1186738688914855
2247,294.29321422130755,0.9458522556310264,1.0,0.7833091531305889,0.10771876355408165,-0.11267512552938533
2248,294.02353093411307,0.9323618821607736,1.0,0.7733132244962055,0.10091816028896781,-0.10634413253789601
2249,293.7538476469186,0.9217739435468936,1.0,0.7662831258892857,0.09390665406564638,-0.09971064648838801
2250,293.4841643597241,0.9151076136284788,1.0,0.7632538102173995,0.08680426837216837,-0.09286023083680858
2251,293.2144810725296,0.9179949210417414,1.0,0.7698521889032404,0.07989983403926558,-0.0859093921404425
2252,292.94479778533514,0.8985214769318757,1.0,0.7541197716413242,0.07252342718850531,-0.07914103140625882
2253,292.67511449814066,0.9075168461737148,1.0,0.76694794871177,0.06553186564985841,-0.0718977149451242
2254,292.4054312109462,0.909960645906582,1.0,0.7732412287523396,0.058729102512428605,-0.06502055545332484
2255,292.1357479237517,0.8972586248935395,1.0,0.7643780376292179,0.05166044364130514,-0.058318106108590756
2256,291.8660646365572,0.9004605228001994,1.0,0.7714522343441375,0.044804010671629264,-0.05134216058609942
2257,291.5963813493628,0.8988273474269766,1.0,0.7736895636459378,0.0380146975810074,-0.04456441095037382
2258,291.32669806216825,0.9043949579064168,1.0,0.7831205995275854,0.03150831556683496,-0.03784207099484245
2259,291.05701477497377,0.8911350086428469,1.0,0.7736824879998578,0.0247187902068307,-0.03138963143729262
2260,290.7873314877793,0.8775954614959186,1.0,0.7639782303109361,0.017638137116158782,-0.024645684825306647
2261,290.5176482005848,0.8580775431482127,1.0,0.7483504447856231,0.010088650459727474,-0.017600883500572945
2262,290.2479649133903,0.8607712996669254,1.0,0.7550448686500325,0.0027399965192284504,-0.010076451524051408
2263,289.97828162619584,0.8578564140310707,1.0,0.7561865399923355,0.0,-0.0027390959056387766
