tau_years,year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,aerosol_reservoir_magnitude_wm2,sai_realized_forcing_wm2
0.67,2172,311.98638423894323,1.211615536447789,1.0,0.8638647233283616,0.5040090935411017,0.4799306161144316,-0.4799306161144316
0.67,2173,311.952239523276,1.2186313804356477,1.0,0.8723319874857218,0.5001790531656733,0.4763135070734653,-0.4763135070734653
0.67,2174,311.923320406924,1.210505260365846,1.0,0.8656876318770659,0.4961496821219853,0.4728591914022854,-0.4728591914022854
0.67,2175,311.88076305002346,1.2096888326537976,1.0,0.8663913389503263,0.49214142229049507,0.46930154075933517,-0.46930154075933517
0.67,2176,311.8477396452747,1.221222236482537,1.0,0.8794759409204164,0.4885257005181075,0.46573271186446485,-0.46573271186446485
0.67,2177,311.80222716808737,1.2170855258328228,1.0,0.8768765147757169,0.48483199596137905,0.462430392105383,-0.462430392105383
0.67,2178,311.75502713775063,1.2228592328263157,1.0,0.8841783539683716,0.4813573465804302,0.4591319468840631,-0.4591319468840631
0.67,2179,311.7312013602398,1.2138433874399,1.0,0.876663989890185,0.4776572662771358,0.45598400552911666,-0.45598400552911666
0.67,2180,311.6882537147985,1.216832029400247,1.0,0.8811539654470918,0.4740918852405485,0.45271168378476717,-0.45271168378476717
0.67,2181,311.6519648984156,1.1974790597905471,1.0,0.8632946411927349,0.46999072447633056,0.44950272744651376,-0.44950272744651376
0.67,2182,311.5981521548988,1.1877756637547283,1.0,0.8551321656352902,0.4656446894453892,0.4459338634328135,-0.4459338634328135
0.67,2183,311.55294460175446,1.186669547480903,1.0,0.8556391192560457,0.4613138630230706,0.4421111755792064,-0.4421111755792064
0.67,2184,311.28326131456,1.1776909741462955,1.0,0.8483347160498735,0.4567639045045668,0.43823902787283625,-0.43823902787283625
0.67,2185,311.0135780273655,1.1899009438041892,1.0,0.8622887031888414,0.4526325656002321,0.4342001212260224,-0.4342001212260224
0.67,2186,310.743894740171,1.1735375865428586,1.0,0.8476859099297903,0.44806314289812577,0.43041239722639957,-0.43041239722639957
0.67,2187,310.47421145297653,1.164713436333028,1.0,0.8406719664462488,0.44328330189151327,0.42637261495847434,-0.42637261495847434
0.67,2188,310.20452816578205,1.178164803461181,1.0,0.8560008645091943,0.4389633278267891,0.4221257983682516,-0.4221257983682516
0.67,2189,309.9348448785876,1.1719575146149068,1.0,0.8516829689138002,0.43451381689420315,0.4181505221222014,-0.4181505221222014
0.67,2190,309.6651615913931,1.174047168533159,1.0,0.8556769611182016,0.43018412572774917,0.414142602861693,-0.414142602861693
0.67,2191,309.3954783041986,1.172254473516678,1.0,0.8557906304608084,0.4258578446415734,0.4102081729952751,-0.4102081729952751
0.67,2192,309.1257950170041,1.171969208407866,1.0,0.8574125674136795,0.42158022166398373,0.40628965747256335,-0.40628965747256335
0.67,2193,308.85611172980964,1.1503895843674403,1.0,0.8377374159694391,0.4167123441430669,0.4024058955921918,-0.4024058955921918
0.67,2194,308.5864284426152,1.1570216161510054,1.0,0.8463321338549985,0.4121023081587169,0.39811201847676697,-0.39811201847676697
0.67,2195,308.3167451554207,1.1454866132129011,1.0,0.8367916182468736,0.4072060567061231,0.3939036287532913,-0.3939036287532913
0.67,2196,308.0470618682262,1.1442510765019351,1.0,0.8376019229738465,0.4023341143953385,0.38950936044145834,-0.38950936044145834
0.67,2197,307.7773785810317,1.1448924744869218,1.0,0.840332290732609,0.39754408311731676,0.3850865895626812,-0.3850865895626812
0.67,2198,307.50769529383723,1.1376389130139313,1.0,0.8351939860973445,0.3925999027002371,0.3807114247886386,-0.3807114247886386
0.67,2199,307.23801200664275,1.1546192142450702,1.0,0.8543249510179309,0.388229651230775,0.37623426681987554,-0.37623426681987554
0.67,2200,306.96832871944827,1.1440303852865124,1.0,0.8458600848118079,0.3836054537751293,0.37213642736659136,-0.37213642736659136
0.67,2201,306.6986454322538,1.1446513733916197,1.0,0.8486012484382341,0.37906349122827626,0.367940851399449,-0.367940851399449
0.67,2202,306.4289621450593,1.155834223191824,1.0,0.8618984913605598,0.3749204459690931,0.363778150666972,-0.363778150666972
0.67,2203,306.1592788578648,1.13649159486928,1.0,0.8446266693261797,0.37025924604887844,0.35990268030460093,-0.35990268030460093
0.67,2204,305.88959557067034,1.1238496715490505,1.0,0.8340692153765678,0.3652813225101755,0.35572077865704277,-0.35572077865704277
0.67,2205,305.61991228347586,1.107047000651718,1.0,0.8194051071085386,0.35986347572343164,0.3512411149668716,-0.3512411149668716
0.67,2206,305.3502289962814,1.0980634619721226,1.0,0.8126560490553512,0.3542431571950922,0.3463770984497086,-0.3463770984497086
0.67,2207,305.0805457090869,1.1018068686006872,1.0,0.8187391067439396,0.34880533039741035,0.3412774548901426,-0.3412774548901426
0.67,2208,304.8108624218924,1.101054492728847,1.0,0.8203943774269618,0.3434171617202192,0.3362499865945565,-0.3362499865945565
0.67,2209,304.5411791346979,1.0995737160439234,1.0,0.8213658352631825,0.3380581367781147,0.3312693869885901,-0.3312693869885901
0.67,2210,304.27149584750345,1.101347797853131,1.0,0.8256226141197838,0.33282681520170815,0.32631540348275095,-0.32631540348275095
0.67,2211,304.00181256030896,1.0784366566049362,1.0,0.8052049078260709,0.3269829624364903,0.3214541999619413,-0.3214541999619413
0.67,2212,303.7321292731145,1.0875369298647073,1.0,0.8168687166082014,0.32148902393473633,0.3161697034041413,-0.3161697034041413
0.67,2213,303.46244598592,1.091566659942663,1.0,0.8234933331536975,0.31619382392934725,0.3110358748207076,-0.3110358748207076
0.67,2214,303.1927626987255,1.085957401421504,1.0,0.8204790885197863,0.31080819658494085,0.3060739110251304,-0.3060739110251304
0.67,2215,302.92307941153103,1.0816042375763113,1.0,0.818727332579694,0.30537001656233165,0.3010807694017673,-0.3010807694017673
0.67,2216,302.6533961243365,1.0815300229378273,1.0,0.8212681262834761,0.30000806035083594,0.2960378747771285,-0.2960378747771285
0.67,2217,302.38371283714207,1.0652853188288494,1.0,0.8076446039537108,0.2942373984694473,0.2910339103379582,-0.2910339103379582
0.67,2218,302.1140295499476,1.0655477859706848,1.0,0.8105762349819547,0.28855468551890595,0.28573831485943235,-0.28573831485943235
0.67,2219,301.8443462627531,1.0453399180197072,1.0,0.7930753679996065,0.28234694655889414,0.28043526867021074,-0.28043526867021074
0.67,2220,301.5746629755586,1.0419268196192302,1.0,0.7924540780907303,0.276120568901616,0.2747443852691671,-0.2747443852691671
0.67,2221,301.30497968836414,1.0377633273316658,1.0,0.7911613472703731,0.2698554093197272,0.26894629121307617,-0.26894629121307617
0.67,2222,301.03529640116966,1.0436477206815689,1.0,0.7999843272168059,0.26385493913623137,0.2630893481985799,-0.2630893481985799
0.67,2223,300.7656131139752,1.0482313151730138,1.0,0.8075331574304782,0.2580809338591457,0.25740533023718565,-0.25740533023718565
0.67,2224,300.4959298267807,1.050067444825334,1.0,0.8123276320590317,0.2524507628209167,0.25191925622996536,-0.25191925622996536
0.67,2225,300.2262465395862,1.0523183198135777,1.0,0.8175132534958299,0.2469761604257916,0.24657706129646617,-0.24657706129646617
0.67,2226,299.95656325239173,1.0439647981117632,1.0,0.8120591412789436,0.24133793466415993,0.24137557421177924,-0.24137557421177924
0.67,2227,299.68687996519725,1.02203024309224,1.0,0.7930135025024132,0.2351283397392323,0.23608081135678988,-0.23608081135678988
0.67,2228,299.4171966780028,1.0224682355048484,1.0,0.7963982719827676,0.22902028789871534,0.2303407296638208,-0.2303407296638208
0.67,2229,299.1475133908083,0.9998138210269912,1.0,0.7767392508615021,0.2223224654245604,0.22456850265017259,-0.22456850265017259
0.67,2230,298.8778301036138,0.9938588530133337,1.0,0.7738808971114326,0.21553889233790338,0.2183489428242354,-0.2183489428242354
0.67,2231,298.6081468164193,1.0009817691877734,1.0,0.7842005817370143,0.20906490979001383,0.21195794610124458,-0.21195794610124458
